Date,XLB,XLC,XLF,XLI,XLK,XLP,XLU,XLV,XLY
2019-05-20,47.33454513549805,45.279029846191406,23.809934616088867,66.51209259033203,69.12557983398438,48.72445297241211,49.140506744384766,80.45227813720703,107.07036590576172
2019-05-27,46.41935348510742,44.43914031982422,23.056447982788086,64.9525375366211,67.79586791992188,47.10651779174805,47.842803955078125,78.4041519165039,104.719970703125
2019-06-03,50.625694274902344,44.89211654663086,24.040403366088867,68.26100158691406,71.85099029541016,49.66471862792969,49.329402923583984,81.75484466552734,109.28860473632812
2019-06-10,50.924888610839844,45.4111442565918,24.14677619934082,67.98153686523438,71.7660903930664,50.05437469482422,49.945404052734375,81.9704360961914,111.84667205810547
2019-06-17,50.748897552490234,46.61908721923828,24.129051208496094,69.48704528808594,73.85025787353516,49.7409553527832,50.093257904052734,84.19822692871094,112.81891632080078
2019-06-24,51.78717041015625,46.56064224243164,24.590557098388672,70.0970458984375,73.85565948486328,49.56525802612305,49.367218017578125,83.57413482666016,112.90480041503906
2019-07-01,52.158958435058594,47.686344146728516,25.089492797851562,70.17855072021484,75.66324615478516,50.700477600097656,50.23649978637695,84.57550811767578,115.27276611328125
2019-07-08,51.67208480834961,48.471500396728516,25.23204803466797,70.97529602050781,76.78944396972656,51.0674934387207,50.17854690551758,83.39371490478516,117.527099609375
2019-07-15,51.707481384277344,46.91065979003906,24.893484115600586,70.12422943115234,76.36357116699219,51.16136932373047,49.9798469543457,82.78025817871094,115.70848846435547
2019-07-22,52.28289794921875,48.92557144165039,25.561702728271484,71.07489013671875,78.16169738769531,51.528411865234375,49.6569709777832,83.05992126464844,117.02507019042969
2019-07-29,50.75142288208008,47.3458137512207,24.590557098388672,68.64840698242188,74.8115234375,50.55537414550781,49.7977180480957,82.13973999023438,111.86290740966797
2019-08-05,51.10551834106445,46.93904113769531,24.207443237304688,68.28622436523438,74.28152465820312,50.63218688964844,50.393798828125,82.45549774169922,112.04285430908203
2019-08-12,50.12289047241211,46.106590270996094,23.672863006591797,67.27216339111328,74.082763671875,51.391849517822266,50.81602478027344,81.68868255615234,109.76959991455078
2019-08-19,48.644527435302734,45.31196975708008,23.254112243652344,66.20379638671875,73.03228759765625,50.88825225830078,50.898807525634766,80.07383728027344,110.33789825439453
2019-08-26,50.18486022949219,46.85389709472656,23.98470115661621,68.59407043457031,75.26577758789062,51.8271598815918,51.80949401855469,81.73377227783203,113.26473236083984
2019-09-02,50.6717529296875,47.98906707763672,24.4480037689209,69.89787292480469,77.130126953125,52.44170379638672,51.99990463256836,82.33820343017578,116.38098907470703
2019-09-09,52.353729248046875,48.51880645751953,25.383508682250977,71.84451293945312,76.80836486816406,52.100284576416016,52.10752487182617,82.55473327636719,116.90192413330078
2019-09-16,51.64551544189453,47.95122528076172,25.018218994140625,70.45018005371094,75.95662689208984,51.48573684692383,52.877471923828125,82.99678802490234,114.03194427490234
2019-09-23,51.34467315673828,46.716651916503906,25.13680648803711,70.55957794189453,75.65214538574219,52.47720718383789,53.97887420654297,80.92280578613281,113.72600555419922
2019-09-30,50.09908676147461,46.849395751953125,24.590547561645508,68.82108306884766,76.46857452392578,52.717613220214844,54.03726577758789,81.64749145507812,113.29833984375
2019-10-07,51.02436447143555,47.18125534057617,24.76069450378418,69.90422058105469,77.43689727783203,52.23680114746094,53.32811737060547,81.4753646850586,114.60029602050781
2019-10-14,51.16673278808594,47.69327926635742,25.17263412475586,70.03164672851562,76.81034088134766,52.15093994140625,53.244693756103516,83.12408447265625,116.10182189941406
2019-10-21,51.83399963378906,47.71223831176758,25.647241592407227,71.5426025390625,78.71849822998047,52.45144271850586,53.52836227416992,83.39584350585938,115.04696655273438
2019-10-28,52.50127410888672,48.30958557128906,26.077085494995117,73.01715850830078,80.37980651855469,52.502967834472656,53.469947814941406,85.94139099121094,115.60765075683594
2019-11-04,53.53334045410156,48.859527587890625,26.721847534179688,74.41886901855469,81.75634765625,52.168113708496094,51.517704010009766,86.17691040039062,115.31304168701172
2019-11-11,53.70237350463867,49.29570007324219,26.641258239746094,74.91950225830078,82.81959533691406,52.65750503540039,52.43543243408203,88.28762817382812,115.341552734375
2019-11-18,52.78599166870117,49.34309005737305,26.793493270874023,74.33696746826172,82.20252227783203,52.631752014160156,52.56056213378906,89.0123519897461,114.33422088623047
2019-11-25,53.41767501831055,49.83614730834961,26.99945831298828,74.67372131347656,83.69297790527344,53.232765197753906,52.602291107177734,90.1265640258789,116.36790466308594
2019-12-02,53.47105407714844,50.025787353515625,27.187511444091797,73.82721710205078,83.31324768066406,53.80802536010742,52.73577880859375,90.95999908447266,115.69316864013672
2019-12-09,53.77355194091797,49.83614730834961,27.50093650817871,74.37335968017578,84.95558166503906,53.902462005615234,52.8692626953125,91.38574981689453,117.05215454101562
2019-12-16,54.16501235961914,51.135154724121094,27.47407341003418,74.12760925292969,86.34161376953125,54.177215576171875,53.88710021972656,93.03446960449219,118.36361694335938
2019-12-23,54.7141227722168,51.39847946166992,27.694942474365234,74.91687774658203,87.53761291503906,54.7508430480957,54.131385803222656,93.63777923583984,120.18403625488281
2019-12-30,53.42588424682617,51.227420806884766,27.676939010620117,75.785888671875,87.94718170166016,53.99775695800781,53.76143264770508,92.0914077758789,119.9742660522461
2020-01-06,53.30064010620117,52.41523742675781,27.62293815612793,75.69441986083984,89.86154174804688,54.24013137817383,54.14820098876953,94.1193618774414,120.46053314208984
2020-01-13,54.69622802734375,53.8596076965332,27.928958892822266,77.21288299560547,92.49977111816406,55.244258880615234,56.13252639770508,95.6666488647461,122.03374481201172
2020-01-20,53.44377136230469,52.91885757446289,27.352920532226562,76.42619323730469,92.79503631591797,55.045162200927734,57.47782897949219,93.80809020996094,120.08868408203125
2020-01-27,51.556156158447266,51.227420806884766,26.965890884399414,74.19422912597656,90.79492950439453,54.69026184082031,57.99911880493164,90.76842498779297,119.48799896240234
2020-02-03,53.75687789916992,53.08040237426758,27.829954147338867,76.51766967773438,94.947509765625,55.6251335144043,57.67119598388672,94.3390884399414,122.3388671875
2020-02-10,54.13261795043945,54.106658935546875,28.05497169494629,77.42326354980469,97.10951232910156,56.08391189575195,59.18466567993164,95.15393829345703,125.56157684326172
2020-02-17,53.98053741455078,53.32746124267578,27.694942474365234,76.46279907226562,94.70941162109375,55.96272659301758,59.134220123291016,94.69615936279297,124.23626708984375
2020-02-24,47.16364288330078,48.23418045043945,23.932682037353516,66.84893035888672,84.16604614257812,50.19765853881836,52.2816047668457,84.7898178100586,110.43963623046875
2020-03-02,47.888267517089844,47.3409538269043,22.996614456176758,66.2726058959961,84.68035125732422,53.270633697509766,56.42680358886719,88.94646453857422,109.31458282470703
2020-03-09,41.60812759399414,43.89158630371094,20.746456146240234,57.57349395751953,80.18488311767578,49.00309371948242,48.48954391479492,83.00447082519531,97.53926849365234
2020-03-16,36.39258575439453,38.21866226196289,17.02019691467285,47.01742935180664,68.02238464355469,43.627559661865234,40.207557678222656,72.41148376464844,83.72360229492188
2020-03-23,39.59527587890625,40.632259368896484,18.910322189331055,53.868804931640625,74.85128021240234,46.319644927978516,46.81632995605469,77.81326293945312,93.487060546875
2020-03-30,38.37385940551758,40.165462493896484,17.82713508605957,51.936370849609375,73.83475494384766,48.186798095703125,43.981544494628906,79.83771514892578,88.53705596923828
